data_source,region,sex,age,population
worldpop,Maseru,female,60,3871.7
worldpop,Maseru,female,65,3362.76
worldpop,Maseru,female,70,2178.73
worldpop,Maseru,female,75,1320.82
worldpop,Maseru,female,80,1364.2
worldpop,Maseru,male,0,5239.08
worldpop,Maseru,male,5,23888.89
worldpop,Maseru,male,10,21534.2
worldpop,Maseru,male,15,21053.28
worldpop,Maseru,male,20,22948.45
worldpop,Maseru,male,25,22630.86
worldpop,Maseru,male,30,20653.48
worldpop,Maseru,male,35,17614.35
worldpop,Maseru,male,40,11917.01
worldpop,Maseru,male,45,7452.83
worldpop,Maseru,male,50,5677.27
worldpop,Maseru,male,55,4647.56
worldpop,Maseru,male,60,4402.47
worldpop,Maseru,male,65,3812.27
worldpop,Maseru,male,70,2517.47
worldpop,Maseru,male,75,1299.4
worldpop,Maseru,male,80,1153.52
worldpop,Mohale's Hoek,female,0,2039.42
worldpop,Mohale's Hoek,female,5,9425.5
worldpop,Mohale's Hoek,female,10,8608.73
worldpop,Mohale's Hoek,female,15,8547.09
worldpop,Mohale's Hoek,female,20,8125.1
worldpop,Mohale's Hoek,female,25,7006.5
worldpop,Mohale's Hoek,female,30,6157.3
worldpop,Mohale's Hoek,female,35,4997.94
worldpop,Mohale's Hoek,female,40,3466.98
worldpop,Mohale's Hoek,female,45,2413.06
worldpop,Mohale's Hoek,female,50,1938.58
worldpop,Mohale's Hoek,female,55,1712.17
worldpop,Mohale's Hoek,female,60,1645.47
worldpop,Mohale's Hoek,female,65,1506.82
worldpop,Mohale's Hoek,female,70,1145.91
worldpop,Mohale's Hoek,female,75,677.8
worldpop,Mohale's Hoek,female,80,732.5
worldpop,Mohale's Hoek,male,0,1990.3
worldpop,Mohale's Hoek,male,5,9519.89
worldpop,Mohale's Hoek,male,10,8677.04
worldpop,Mohale's Hoek,male,15,8324.6
worldpop,Mohale's Hoek,male,20,7873.33
worldpop,Mohale's Hoek,male,25,6626.69
worldpop,Mohale's Hoek,male,30,5642.72
worldpop,Mohale's Hoek,male,35,4993.47
worldpop,Mohale's Hoek,male,40,3836.47
worldpop,Mohale's Hoek,male,45,2721.31
worldpop,Mohale's Hoek,male,50,2222.51
worldpop,Mohale's Hoek,male,55,1943.07
worldpop,Mohale's Hoek,male,60,1924.03
worldpop,Mohale's Hoek,male,65,1653.11
worldpop,Mohale's Hoek,male,70,1256.58
worldpop,Mohale's Hoek,male,75,590.29
worldpop,Mohale's Hoek,male,80,512.81
worldpop,Mokhotlong,female,0,1726.45
worldpop,Mokhotlong,female,5,7948.75
worldpop,Mokhotlong,female,10,6479.69
worldpop,Mokhotlong,female,15,5581.19
worldpop,Mokhotlong,female,20,5653.07
worldpop,Mokhotlong,female,25,5161.55
worldpop,Mokhotlong,female,30,4700.8
worldpop,Mokhotlong,female,35,3138.85
worldpop,Mokhotlong,female,40,2285.51
worldpop,Mokhotlong,female,45,1457.32
worldpop,Mokhotlong,female,50,1216.7
worldpop,Mokhotlong,female,55,1048.15
worldpop,Mokhotlong,female,60,1028.75
worldpop,Mokhotlong,female,65,851.02
worldpop,Mokhotlong,female,70,870.97
worldpop,Mokhotlong,female,75,374.15
worldpop,Mokhotlong,female,80,453.51
worldpop,Mokhotlong,male,0,1749.06
worldpop,Mokhotlong,male,5,8243.74
worldpop,Mokhotlong,male,10,6550.33
worldpop,Mokhotlong,male,15,5815.6
worldpop,Mokhotlong,male,20,5034.24
worldpop,Mokhotlong,male,25,4771.0
worldpop,Mokhotlong,male,30,4420.25
worldpop,Mokhotlong,male,35,3332.65
worldpop,Mokhotlong,male,40,2414.97
worldpop,Mokhotlong,male,45,1651.17
worldpop,Mokhotlong,male,50,1310.55
worldpop,Mokhotlong,male,55,1215.1
worldpop,Mokhotlong,male,60,1146.08
worldpop,Mokhotlong,male,65,1040.38
worldpop,Mokhotlong,male,70,932.29
worldpop,Mokhotlong,male,75,415.8
worldpop,Mokhotlong,male,80,360.2
worldpop,Qacha's Nek,female,0,919.2
worldpop,Qacha's Nek,female,5,4588.37
worldpop,Qacha's Nek,female,10,4113.73
worldpop,Qacha's Nek,female,15,3824.11
worldpop,Qacha's Nek,female,20,3730.71
worldpop,Qacha's Nek,female,25,3267.12
worldpop,Qacha's Nek,female,30,3021.2
worldpop,Qacha's Nek,female,35,2168.6
worldpop,Qacha's Nek,female,40,1492.03
worldpop,Qacha's Nek,female,45,1024.7
worldpop,Qacha's Nek,female,50,821.87
worldpop,Qacha's Nek,female,55,740.72
worldpop,Qacha's Nek,female,60,640.07
worldpop,Qacha's Nek,female,65,654.8
worldpop,Qacha's Nek,female,70,541.32
worldpop,Qacha's Nek,female,75,281.08
worldpop,Qacha's Nek,female,80,305.76
worldpop,Qacha's Nek,male,0,912.38
worldpop,Qacha's Nek,male,5,4638.79
worldpop,Qacha's Nek,male,10,3873.8
worldpop,Qacha's Nek,male,15,3492.5
worldpop,Qacha's Nek,male,20,3146.41
worldpop,Qacha's Nek,male,25,2931.06
worldpop,Qacha's Nek,male,30,2541.96
worldpop,Qacha's Nek,male,35,2028.28
worldpop,Qacha's Nek,male,40,1655.53
worldpop,Qacha's Nek,male,45,1103.53
worldpop,Qacha's Nek,male,50,869.18
worldpop,Qacha's Nek,male,55,769.6
worldpop,Qacha's Nek,male,60,743.34
worldpop,Qacha's Nek,male,65,662.97
worldpop,Qacha's Nek,male,70,509.98
worldpop,Qacha's Nek,male,75,262.08
worldpop,Qacha's Nek,male,80,199.72
worldpop,Quthing,female,0,1425.81
worldpop,Quthing,female,5,7173.55
worldpop,Quthing,female,10,6687.89
worldpop,Quthing,female,15,6447.53
worldpop,Quthing,female,20,5985.27
worldpop,Quthing,female,25,5192.14
worldpop,Quthing,female,30,4771.67
worldpop,Quthing,female,35,3902.63
worldpop,Quthing,female,40,2696.1
worldpop,Quthing,female,45,1838.82
worldpop,Quthing,female,50,1538.6
worldpop,Quthing,female,55,1294.66
worldpop,Quthing,female,60,1262.66
worldpop,Quthing,female,65,1185.02
worldpop,Quthing,female,70,917.85
worldpop,Quthing,female,75,479.39
worldpop,Quthing,female,80,478.63
worldpop,Quthing,male,0,1489.94
worldpop,Quthing,male,5,7385.03
worldpop,Quthing,male,10,6647.27
worldpop,Quthing,male,15,6049.77
worldpop,Quthing,male,20,5627.49
worldpop,Quthing,male,25,4736.32
worldpop,Quthing,male,30,4247.64
worldpop,Quthing,male,35,3735.31
worldpop,Quthing,male,40,2716.36
worldpop,Quthing,male,45,2038.71
worldpop,Quthing,male,50,1711.06
worldpop,Quthing,male,55,1475.01
worldpop,Quthing,male,60,1463.63
worldpop,Quthing,male,65,1419.72
worldpop,Quthing,male,70,929.45
worldpop,Quthing,male,75,389.54
worldpop,Quthing,male,80,315.4
worldpop,Thaba-Tseka,female,0,1826.81
worldpop,Thaba-Tseka,female,5,9152.78
worldpop,Thaba-Tseka,female,10,7381.38
worldpop,Thaba-Tseka,female,15,6266.49
worldpop,Thaba-Tseka,female,20,5754.29
worldpop,Thaba-Tseka,female,25,5538.37
worldpop,Thaba-Tseka,female,30,4994.86
worldpop,Thaba-Tseka,female,35,3580.32
